Name,playerid,G,PA,HR,R,RBI,SB,ISO,BABIP,AVG,OBP,SLG,wOBA,wRC+,BsR,WAR,HoF
Hank Aaron,1000001,3298,13940,755,2174,2297,240,0.25,0.291,0.305,0.374,0.555,0.403,153,24.9,136.3,1
Mike Schmidt,1011586,2400,10062,548,1506,1595,174,0.26,0.28,0.267,0.38,0.527,0.395,147,-0.7,106.5,1
Rickey Henderson,194,3068,13346,297,2295,1115,1406,0.14,0.305,0.279,0.401,0.419,0.372,132,142.7,106.2,1
Joe Morgan,1009179,2645,11329,268,1650,1133,689,0.156,0.278,0.271,0.392,0.427,0.372,135,79,98.8,1
Carl Yastrzemski,1014326,3306,13991,452,1816,1844,168,0.177,0.29,0.285,0.379,0.462,0.375,130,-6.7,94.8,1
Reggie Smith,1012201,1982,8050,314,1123,1092,137,0.202,0.295,0.287,0.366,0.489,0.379,137,-2.5,64.6,0
Alan Trammell,1013157,2267,9376,185,1231,1003,236,0.13,0.298,0.285,0.352,0.415,0.343,111,2.3,63.7,0
,Willie Stargell1012426,2356,9026,475,1195,1540,17,0.247,0.314,0.282,0.36,0.529,0.387,145,-0.8,62.9,1
Joe Torre,1013133,2206,8802,252,996,1185,23,0.155,0.318,0.297,0.365,0.452,0.364,129,-4,62.3,0
Willie Randolph,1010694,2183,9461,54,1239,687,271,0.076,0.293,0.276,0.373,0.351,0.335,109,16.2,62,0